ID,Player,Pos,Squad,Age,Born,PlayingTimeMP,PlayingTimeMin,PlayingTimeMn/MP,PlayingTimeMin%,PlayingTime90s,Starts,StartsMn/Start,StartsCompl,Subs,SubsMn/Sub,SubsunSub,TeamSuccessPPM,TeamSuccessonG,TeamSuccessonGA,TeamSuccess+/-,TeamSuccess+/-90,TeamSuccessOn-Off,TeamSuccess(xG)onxG,TeamSuccess(xG)onxGA,TeamSuccess(xG)xG+/-,TeamSuccess(xG)xG+/-90,TeamSuccess(xG)On-Off,Rk,PlayingTimeStarts,PerformanceGls,PerformanceAst,PerformanceG+A,PerformanceG-PK,PerformancePK,PerformancePKatt,PerformanceCrdY,PerformanceCrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,ProgressionPrgC,ProgressionPrgP,ProgressionPrgR,Per90MinGls,Per90MinAst,Per90MinG+A,Per90MinG-PK,Per90MinG+A-PK,Per90Min_xG,Per90Min_xAG,Per90Min_xG+xAG,Per90Min_npxG,Per90Min_npxG+xAG,90s,TacklesTkl,TacklesTklW,TacklesDef 3rd,TacklesMid 3rd,tacklesAtt 3rd,ChallengesTkl,ChallengesAtt,ChallengesTkl%,ChallengesLost,BlocksBlocks,BlocksSh,BlocksPass,Int,Tkl+Int,Clr,Err,SCA,SCA90,SCATypesPassLive,SCATypesPassDead,SCATypesTO,SCATypesSh,SCATypesFld,SCATypesDef,GCA,GCA90,GCATypesPassLive,GCATypesPassDead,GCATypes,GCATypesSh,GCATypesFld,GCATypesDef,StandardGls,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardDist,StandardFK,StandardPK,StandardPKatt,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Touches,TouchesDef Pen,TouchesDef 3rd,TouchesMid 3rd,TouchesAtt 3rd,TouchesAtt Pen,TouchesLive,TakeOnsAtt,TakeOnsSucc,TakeOnsSucc%,TakeOnsTkld,TakeOnsTkld%,Carries,CarriesTotDist,CarriesPrgDist,CarriesPrgC,Carries1/3,CarriesCPA,CarriesMis,CarriesDis,ReceivingRec,ReceivingPrgR,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,PassTypesLive,PassTypesDead,PassTypesFK,PassTypesTB,PassTypesSw,PassTypesCrs,PassTypesTI,PassTypesCK,CornerKicksIn,CornerKicksOut,CornerKicksStr,OutcomesCmp,OutcomesOff,OutcomesBlocks,Performance2CrdY,PerformanceFls,PerformanceFld,PerformanceOff,PerformanceCrs,PerformanceInt,PerformanceTklW,PerformancePKwon,PerformancePKcon,PerformanceOG,PerformanceRecov,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%,PerformanceGA,PerformanceGA90,PerformanceSoTA,PerformanceSaves,PerformanceSave%,PerformanceW,PerformanceD,PerformanceL,PerformanceCS,PerformanceCS%,PenaltyKicksPKatt,PenaltyKicksPKA,PenaltyKicksPKsv,PenaltyKicksPKm,PenaltyKicksSave%,Playing90s,GoalsGA,GoalsPKA,GoalsFK,GoalsCK,GoalsOG,ExpectedPSxG,ExpectedPSxG/SoT,ExpectedPSxG+/-,Expected/90,LaunchedCmp,LaunchedAtt,LaunchedCmp%,PassesAtt (GK),PassesThr,PassesLaunch%,PassesAvgLen,GoalKicksAtt,GoalKicksLaunch%,GoalKicksAvgLen,CrossesOpp,CrossesStp,CrossesStp%,Sweeper#OPA,Sweeper#OPA/90,SweeperAvgDist,missing_pct,KP_per90,PPA_per90,1/3_per90,CrsPA_per90,PrgP_per90,Int_per90,Clr_per90,Touches_per90,KP/90,PPA/90,1/3/90,CrsPA/90,PrgP/90,Int/90,Clr/90,Touches/90
AbDFtr291994,Abdülkerim Bardakcı,DF,tr Türkiye,29,1994,4,360.0,90.0,80.0,4.0,4,90.0,4,0,,0,1.5,6.0,7.0,-1.0,-0.25,-1.25,5.9,7.3,-1.4,-0.35,-0.11,31.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.5,6.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.14,0.06,0.14,4.0,4.0,2.0,4.0,0.0,0.0,3.0,6.0,50.0,3.0,5.0,3.0,2.0,2.0,6.0,20.0,0.0,7.0,1.75,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,,8.9,0.0,0.0,0.0,0.13,-0.3,-0.3,246.0,35.0,119.0,111.0,17.0,4.0,246.0,1.0,0.0,0.0,1.0,100.0,140.0,736.0,453.0,6.0,6.0,0.0,2.0,2.0,172.0,1.0,182.0,211.0,86.3,3077.0,1299.0,92.0,97.0,94.8,78.0,85.0,91.8,9.0,24.0,37.5,0.0,0.3,0.2,-0.3,2.0,14.0,3.0,1.0,13.0,211.0,200.0,10.0,6.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,182.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,17.0,7.0,7.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1963470319634703,0.5,0.75,3.5,0.25,3.2499999999999996,0.5,5.0,61.5,0.5,0.75,3.5,0.25,3.2499999999999996,0.5,5.0,61.5
AdFWpl271996,Adam Buksa,FW,pl Poland,27,1996,2,149.0,75.0,55.2,1.7,2,75.0,1,0,,1,0.0,2.0,3.0,-1.0,-0.6,0.88,2.4,2.1,0.3,0.18,1.73,60.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.3,1.0,1.0,6.0,0.6,0.0,0.6,0.6,0.6,0.1,0.11,0.21,0.1,0.21,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,1.81,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,33.3,1.81,0.6,0.33,1.0,12.8,0.0,0.0,0.0,0.05,0.8,0.8,30.0,3.0,6.0,11.0,13.0,4.0,30.0,2.0,0.0,0.0,2.0,100.0,13.0,62.0,22.0,1.0,0.0,1.0,3.0,1.0,19.0,6.0,11.0,13.0,84.6,174.0,25.0,8.0,9.0,88.9,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.2,0.0,-0.2,2.0,0.0,0.0,0.0,1.0,13.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1963470319634703,,,,,,,,,1.2080536912751678,0.0,0.0,0.0,0.6040268456375839,0.0,1.8120805369127515,18.120805369127517
AdMFcz212002,Adam Hložek,MF,cz Czechia,21,2002,2,108.0,54.0,40.0,1.2,2,54.0,0,0,,1,0.5,0.0,2.0,-2.0,-1.67,-1.67,2.3,1.6,0.7,0.58,0.57,176.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.46,0.46,0.46,1.2,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,2.5,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,100.0,3.33,3.33,0.0,0.0,16.0,0.0,0.0,0.0,0.14,-0.5,-0.5,32.0,2.0,5.0,9.0,18.0,3.0,32.0,4.0,0.0,0.0,4.0,100.0,22.0,93.0,34.0,1.0,1.0,0.0,2.0,2.0,23.0,3.0,15.0,16.0,93.8,205.0,56.0,10.0,11.0,90.9,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.1,0.0,0.0,1.0,0.0,0.0,1.0,16.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1917808219178082,,,,,,,,,0.0,0.0,0.8333333333333333,0.0,0.8333333333333333,0.8333333333333333,0.8333333333333333,26.666666666666664
AdMFfr281995,Adrien Rabiot,MF,fr France,28,1995,5,371.0,74.0,65.1,4.1,5,74.0,2,0,,0,1.6,4.0,2.0,2.0,0.49,0.94,7.0,2.4,4.7,1.13,1.54,337.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.4,0.7,10.0,28.0,19.0,0.0,0.0,0.0,0.0,0.0,0.07,0.1,0.17,0.07,0.17,4.1,9.0,5.0,3.0,5.0,1.0,4.0,5.0,80.0,1.0,3.0,0.0,3.0,1.0,10.0,2.0,0.0,15.0,3.64,13.0,0.0,1.0,0.0,1.0,0.0,1.0,0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.73,0.0,0.0,,19.9,0.0,0.0,0.0,0.1,-0.3,-0.3,275.0,2.0,31.0,170.0,75.0,8.0,275.0,8.0,5.0,62.5,2.0,25.0,206.0,989.0,449.0,10.0,9.0,1.0,7.0,7.0,212.0,19.0,216.0,236.0,91.5,3031.0,826.0,138.0,146.0,94.5,63.0,66.0,95.5,9.0,14.0,64.3,0.0,0.4,0.7,-0.4,9.0,29.0,2.0,1.0,28.0,236.0,225.0,11.0,7.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,216.0,0.0,2.0,0.0,5.0,5.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,20.0,2.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1963470319634703,2.183288409703504,0.48517520215633425,7.035040431266847,0.24258760107816713,6.792452830188679,0.24258760107816713,0.48517520215633425,66.71159029649596,2.183288409703504,0.48517520215633425,7.035040431266847,0.24258760107816713,6.792452830188679,0.24258760107816713,0.48517520215633425,66.71159029649596
AdMFsi241999,Adam Gnezda Čerin,MF,si Slovenia,24,1999,4,390.0,98.0,100.0,4.3,4,98.0,4,0,,0,1.0,2.0,2.0,0.0,0.0,,3.2,6.1,-2.9,-0.71,-0.71,148.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,4.3,9.0,5.0,8.0,1.0,0.0,4.0,9.0,44.4,5.0,7.0,0.0,7.0,5.0,14.0,10.0,0.0,6.0,1.5,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.92,0.23,0.0,0.0,22.1,0.0,0.0,0.0,0.06,-0.3,-0.3,204.0,13.0,50.0,117.0,41.0,2.0,204.0,2.0,2.0,100.0,0.0,0.0,90.0,531.0,248.0,4.0,4.0,0.0,4.0,2.0,117.0,5.0,127.0,164.0,77.4,2135.0,610.0,57.0,63.0,90.5,59.0,73.0,80.8,10.0,24.0,41.7,0.0,0.0,0.1,0.0,2.0,6.0,0.0,0.0,11.0,164.0,143.0,20.0,8.0,0.0,1.0,10.0,0.0,12.0,2.0,4.0,0.0,127.0,1.0,0.0,0.0,10.0,4.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,16.0,5.0,2.0,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1963470319634703,0.46153846153846156,0.0,1.3846153846153846,0.0,2.5384615384615383,1.1538461538461537,2.3076923076923075,47.07692307692308,0.46153846153846156,0.0,1.3846153846153846,0.0,2.5384615384615383,1.1538461538461537,2.3076923076923075,47.07692307692308
AlDFat222001,Alexander Prass,DF,at Austria,22,2001,4,166.0,42.0,46.1,1.8,1,90.0,1,3,25.0,0,1.5,6.0,3.0,3.0,1.63,2.55,5.0,2.5,2.5,1.38,2.26,333.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,6.0,7.0,6.0,0.0,0.54,0.54,0.0,0.54,0.0,0.2,0.2,0.0,0.2,1.8,7.0,2.0,4.0,2.0,1.0,4.0,10.0,40.0,6.0,1.0,0.0,1.0,2.0,9.0,1.0,0.0,6.0,3.25,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.63,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,114.0,6.0,30.0,51.0,34.0,2.0,114.0,3.0,1.0,33.3,2.0,66.7,62.0,293.0,182.0,6.0,0.0,1.0,2.0,3.0,62.0,6.0,72.0,95.0,75.8,1295.0,470.0,34.0,39.0,87.2,28.0,36.0,77.8,8.0,14.0,57.1,1.0,0.4,0.2,0.6,2.0,7.0,4.0,3.0,7.0,95.0,79.0,15.0,2.0,0.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,72.0,1.0,1.0,0.0,3.0,2.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,11.0,1.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2100456621004566,,,,,,,,,1.0843373493975905,2.168674698795181,3.795180722891566,1.6265060240963856,3.795180722891566,1.0843373493975905,0.5421686746987953,61.80722891566265
AlDFdk261997,Alexander Bah,DF/MF,dk Denmark,26,1997,4,281.0,70.0,78.1,3.1,3,82.0,1,1,34.0,0,0.75,1.0,3.0,-2.0,-0.64,-0.64,3.9,3.5,0.4,0.12,1.09,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.4,5.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0,0.12,0.02,0.14,0.12,0.14,3.1,4.0,4.0,2.0,1.0,1.0,4.0,8.0,50.0,4.0,1.0,0.0,1.0,5.0,9.0,5.0,0.0,8.0,2.57,4.0,2.0,0.0,0.0,1.0,1.0,1.0,0.32,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.64,0.0,0.0,,14.4,0.0,0.0,0.0,0.19,-0.4,-0.4,184.0,6.0,37.0,91.0,56.0,5.0,184.0,1.0,1.0,100.0,0.0,0.0,115.0,398.0,168.0,5.0,2.0,1.0,2.0,1.0,118.0,9.0,127.0,164.0,77.4,2004.0,730.0,71.0,80.0,88.8,44.0,59.0,74.6,9.0,16.0,56.3,0.0,0.1,0.2,-0.1,2.0,9.0,4.0,1.0,20.0,164.0,145.0,19.0,0.0,0.0,1.0,6.0,19.0,0.0,0.0,0.0,0.0,127.0,0.0,4.0,0.0,3.0,2.0,0.0,6.0,5.0,4.0,0.0,0.0,0.0,9.0,7.0,3.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1917808219178082,0.6405693950177935,1.281138790035587,2.8825622775800714,0.32028469750889677,6.405693950177937,1.6014234875444842,1.6014234875444842,58.93238434163701,0.6405693950177935,1.281138790035587,2.8825622775800714,0.32028469750889677,6.405693950177937,1.6014234875444842,1.6014234875444842,58.93238434163701
AlDFit241999,Alessandro Bastoni,DF,it Italy,24,1999,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,3.0,5.0,-2.0,-0.5,,3.3,4.7,-1.4,-0.35,,33.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,5.0,21.0,6.0,0.25,0.0,0.25,0.25,0.25,0.13,0.0,0.13,0.13,0.13,4.0,5.0,2.0,2.0,3.0,0.0,2.0,3.0,66.7,1.0,4.0,2.0,2.0,1.0,6.0,17.0,0.0,5.0,1.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,66.7,0.75,0.5,0.33,0.5,6.4,0.0,0.0,0.0,0.17,0.5,0.5,366.0,51.0,138.0,202.0,26.0,3.0,366.0,0.0,0.0,,0.0,,285.0,1348.0,846.0,5.0,9.0,0.0,1.0,0.0,274.0,6.0,306.0,333.0,91.9,5340.0,1760.0,143.0,145.0,98.6,129.0,137.0,94.2,29.0,42.0,69.0,0.0,0.0,0.1,0.0,1.0,30.0,1.0,0.0,21.0,333.0,315.0,18.0,9.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,306.0,0.0,3.0,0.0,3.0,6.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,24.0,4.0,5.0,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2100456621004566,0.25,0.25,7.5,0.0,5.25,0.25,4.25,91.5,0.25,0.25,7.5,0.0,5.25,0.25,4.25,91.5
AlFWrs291994,Aleksandar Mitrović,FW,rs Serbia,29,1994,3,240.0,80.0,88.9,2.7,3,80.0,2,0,,0,0.67,1.0,2.0,-1.0,-0.37,-0.37,2.0,2.4,-0.4,-0.13,0.17,275.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,0.0,1.2,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,20.0,3.75,0.75,0.0,0.0,10.9,0.0,0.0,0.0,0.12,-1.2,-1.2,89.0,2.0,8.0,45.0,36.0,14.0,89.0,4.0,2.0,50.0,2.0,50.0,53.0,194.0,42.0,0.0,2.0,0.0,8.0,5.0,63.0,10.0,38.0,53.0,71.7,471.0,40.0,26.0,32.0,81.3,9.0,13.0,69.2,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,53.0,47.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,19.0,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1917808219178082,,,,,,,,,0.0,0.375,1.125,0.0,0.75,0.0,1.5,33.375
AlGKtr251998,Altay Bayındır,GK,tr Türkiye,25,1998,1,90.0,90.0,20.0,1.0,1,90.0,1,0,,4,0.0,0.0,3.0,-3.0,-3.0,-3.75,0.7,1.9,-1.1,-1.15,-1.03,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,36.0,31.0,36.0,0.0,0.0,0.0,36.0,0.0,0.0,,0.0,,29.0,190.0,105.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,29.0,35.0,82.9,684.0,458.0,6.0,6.0,100.0,14.0,15.0,93.3,9.0,14.0,64.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,31.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,100.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,3.0,0.0,0.0,0.0,1.0,1.6,0.54,-0.4,-0.37,3.0,7.0,42.9,33.0,3.0,21.2,31.2,2.0,0.0,7.5,8.0,2.0,25.0,0.0,0.0,12.2,0.045662100456621,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
AmMFbe222001,Amadou Onana,MF,be Belgium,22,2001,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,2.0,2.0,0.0,0.0,,4.5,3.4,1.1,0.28,,308.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,4.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,4.0,8.0,6.0,3.0,4.0,1.0,4.0,5.0,80.0,1.0,7.0,1.0,6.0,3.0,11.0,4.0,2.0,5.0,1.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.75,0.25,0.0,0.0,16.8,0.0,0.0,0.0,0.04,-0.1,-0.1,268.0,7.0,67.0,157.0,45.0,3.0,268.0,3.0,3.0,100.0,0.0,0.0,161.0,742.0,371.0,4.0,5.0,0.0,1.0,0.0,195.0,1.0,216.0,240.0,90.0,3428.0,640.0,103.0,111.0,92.8,96.0,103.0,93.2,10.0,15.0,66.7,0.0,0.0,0.1,0.0,1.0,16.0,3.0,0.0,17.0,240.0,233.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,9.0,6.0,4.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2009132420091324,0.25,0.75,4.0,0.0,4.25,0.75,1.0,67.0,0.25,0.75,4.0,0.0,4.25,0.75,1.0,67.0
AnDFde301993,Antonio Rüdiger,DF,de Germany,30,1993,5,480.0,96.0,100.0,5.3,5,96.0,5,0,,0,2.0,11.0,4.0,7.0,1.31,,9.7,4.4,5.3,1.07,1.07,356.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.6,0.8,3.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.15,0.04,0.15,5.3,8.0,4.0,7.0,1.0,0.0,6.0,6.0,100.0,0.0,10.0,6.0,4.0,2.0,10.0,20.0,0.0,8.0,1.6,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,0.75,0.19,0.0,0.0,21.5,0.0,0.0,0.0,0.05,-0.2,-0.2,459.0,36.0,153.0,261.0,46.0,3.0,459.0,2.0,0.0,0.0,1.0,50.0,283.0,1205.0,745.0,3.0,8.0,0.0,1.0,1.0,345.0,0.0,372.0,409.0,91.0,6532.0,2422.0,166.0,169.0,98.2,174.0,181.0,96.1,29.0,51.0,56.9,0.0,0.6,1.1,-0.6,4.0,43.0,9.0,3.0,35.0,409.0,401.0,7.0,5.0,2.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,372.0,1.0,1.0,0.0,5.0,3.0,0.0,8.0,2.0,4.0,0.0,0.0,1.0,27.0,4.0,7.0,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1963470319634703,0.75,1.6875,8.0625,0.5625,6.5625,0.375,3.75,86.0625,0.75,1.6875,8.0625,0.5625,6.5625,0.375,3.75,86.0625
AnDFdk271996,Andreas Christensen,DF,dk Denmark,27,1996,4,350.0,88.0,97.2,3.9,4,88.0,3,0,,0,0.75,2.0,4.0,-2.0,-0.51,-0.51,4.2,4.4,-0.2,-0.05,2.44,78.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,3.9,4.0,2.0,4.0,0.0,0.0,3.0,3.0,100.0,0.0,3.0,1.0,2.0,6.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.03,0.0,0.0,,17.6,0.0,0.0,0.0,0.11,-0.5,-0.5,261.0,15.0,92.0,160.0,9.0,4.0,261.0,0.0,0.0,,0.0,,192.0,728.0,325.0,1.0,1.0,0.0,0.0,0.0,201.0,0.0,218.0,231.0,94.4,3357.0,1163.0,116.0,121.0,95.9,86.0,89.0,96.6,10.0,14.0,71.4,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,9.0,231.0,228.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,10.0,9.0,3.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2054794520547945,0.0,0.2571428571428571,2.314285714285714,0.0,2.314285714285714,1.542857142857143,2.8285714285714287,67.11428571428571,0.0,0.2571428571428571,2.314285714285714,0.0,2.314285714285714,1.542857142857143,2.8285714285714287,67.11428571428571
AnDFro251998,Andrei Ratiu,DF,ro Romania,25,1998,4,359.0,90.0,99.7,4.0,4,90.0,3,0,,0,1.0,4.0,6.0,-2.0,-0.5,-0.5,3.5,6.1,-2.7,-0.67,-2.18,344.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,3.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,4.0,6.0,5.0,4.0,2.0,0.0,4.0,5.0,80.0,1.0,6.0,2.0,4.0,6.0,12.0,15.0,0.0,6.0,1.5,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,100.0,0.75,0.75,0.0,0.0,18.9,0.0,0.0,0.0,0.04,-0.1,-0.1,168.0,17.0,66.0,59.0,44.0,4.0,168.0,7.0,1.0,14.3,5.0,71.4,67.0,599.0,222.0,3.0,4.0,1.0,7.0,2.0,67.0,7.0,97.0,117.0,82.9,1441.0,567.0,56.0,68.0,82.4,34.0,38.0,89.5,6.0,9.0,66.7,0.0,0.0,0.1,0.0,2.0,5.0,1.0,0.0,8.0,117.0,79.0,38.0,1.0,0.0,0.0,3.0,37.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,6.0,5.0,0.0,0.0,0.0,12.0,2.0,5.0,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1917808219178082,0.5013927576601671,0.25069637883008355,1.2534818941504178,0.0,2.0055710306406684,1.5041782729805016,3.7604456824512535,42.116991643454035,0.5013927576601671,0.25069637883008355,1.2534818941504178,0.0,2.0055710306406684,1.5041782729805016,3.7604456824512535,42.116991643454035
