Rk,Player,Pos,Squad,Age,Born,90s,StandardGls,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardDist,StandardFK,StandardPK,StandardPKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches,ID
445,Kacper Urbanski,FW/MF,pl Poland,19,2004,1.6,0,2,1,50.0,1.22,0.61,0.0,0.0,21.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,KaFWpl192004
446,Virgil van Dijk,DF,nl Netherlands,32,1991,6.0,0,5,1,20.0,0.83,0.17,0.0,0.0,11.3,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,ViDFnl321991
447,Vladyslav Vanat,FW,ua Ukraine,22,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,VlFWua222002
448,Barnabás Varga,FW,hu Hungary,30,1994,2.8,1,4,2,50.0,1.45,0.72,0.25,0.5,6.2,0,0,0,1.2,1.2,0.31,-0.2,-0.2,Matches,BaFWhu301994
449,Ruben Vargas,MF/FW,ch Switzerland,25,1998,3.4,1,5,4,80.0,1.47,1.18,0.2,0.25,16.1,0,0,0,0.7,0.7,0.14,0.3,0.3,Matches,RuMFch251998
450,Denis Vavro,DF,sk Slovakia,27,1996,4.3,0,3,0,0.0,0.69,0.0,0.0,,25.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,DeDFsk271996
451,Joey Veerman,MF,nl Netherlands,25,1998,2.3,0,2,0,0.0,0.86,0.0,0.0,,17.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,JoMFnl251998
452,Miloš Veljković,DF,rs Serbia,28,1995,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,MiDFrs281995
453,Micky van de Ven,DF,nl Netherlands,22,2001,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,MiDFnl222001
454,Benjamin Verbič,MF,si Slovenia,30,1993,0.8,0,1,0,0.0,1.22,0.0,0.0,,26.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,BeMFsi301993
455,Bart Verbruggen,GK,nl Netherlands,21,2002,6.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,BaGKnl212002
456,Jan Vertonghen,DF,be Belgium,36,1987,3.0,0,1,0,0.0,0.33,0.0,0.0,,11.6,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,JaDFbe361987
457,Jannik Vestergaard,DF,dk Denmark,31,1992,4.0,0,4,2,50.0,1.0,0.5,0.0,0.0,10.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,JaDFdk311992
458,Žan Vipotnik,FW,si Slovenia,21,2002,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ŽaFWsi212002
459,Vitinha,MF,pt Portugal,23,2000,4.0,0,8,3,37.5,2.01,0.75,0.0,0.0,22.4,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,ViMFpt232000
460,Daniel Vivian,DF,es Spain,24,1999,1.4,0,1,0,0.0,0.73,0.0,0.0,,12.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,DaDFes241999
461,Dušan Vlahović,MF/FW,rs Serbia,24,2000,2.0,0,6,2,33.3,3.05,1.02,0.0,0.0,21.1,1,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,DuMFrs242000
462,Stefan de Vrij,DF,nl Netherlands,31,1992,6.0,1,4,1,25.0,0.67,0.17,0.25,1.0,9.5,0,0,0,0.3,0.3,0.08,0.7,0.7,Matches,StDFnl311992
463,Kyle Walker,DF,eng England,33,1990,7.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,KyDFen331990
464,Ollie Watkins,FW,eng England,28,1995,0.7,1,3,2,66.7,4.35,2.9,0.33,0.5,16.8,0,0,0,0.3,0.3,0.1,0.7,0.7,Matches,OlFWen281995
465,Wout Weghorst,FW,nl Netherlands,31,1992,1.5,1,4,2,50.0,2.61,1.3,0.25,0.5,9.5,0,0,0,0.6,0.6,0.16,0.4,0.4,Matches,WoFWnl311992
466,Andreas Weimann,FW,at Austria,32,1991,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,AnFWat321991
467,Silvan Widmer,DF,ch Switzerland,30,1993,3.3,0,2,0,0.0,0.6,0.0,0.0,,12.7,0,0,0,0.3,0.3,0.15,-0.3,-0.3,Matches,SiDFch301993
468,Georginio Wijnaldum,MF,nl Netherlands,33,1990,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,GeMFnl331990
469,Nico Williams,FW,es Spain,21,2002,5.5,2,11,3,27.3,2.01,0.55,0.18,0.67,16.2,0,0,0,1.0,1.0,0.09,1.0,1.0,Matches,NiFWes212002
470,Patrick Wimmer,FW/MF,at Austria,22,2001,1.5,0,3,2,66.7,1.96,1.3,0.0,0.0,18.7,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,PaFWat222001
471,Jonas Wind,FW,dk Denmark,24,1999,2.1,0,5,1,20.0,2.33,0.47,0.0,0.0,12.5,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches,JoFWdk241999
472,Florian Wirtz,FW/MF,de Germany,20,2003,3.1,2,8,3,37.5,2.58,0.97,0.25,0.67,20.3,0,0,0,0.6,0.6,0.08,1.4,1.4,Matches,FlFWde202003
473,Maximilian Wöber,DF,at Austria,25,1998,1.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,MaDFat251998
474,Granit Xhaka,MF,ch Switzerland,31,1992,5.3,0,4,3,75.0,0.75,0.56,0.0,0.0,18.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,GrMFch311992
475,Lamine Yamal,FW,es Spain,16,2007,5.6,1,18,7,38.9,3.22,1.25,0.06,0.14,20.6,3,0,0,1.8,1.8,0.1,-0.8,-0.8,Matches,LaFWes162007
476,Roman Yaremchuk,FW,ua Ukraine,28,1995,1.3,1,6,2,33.3,4.46,1.49,0.17,0.5,15.6,0,0,0,0.4,0.4,0.07,0.6,0.6,Matches,RoFWua281995
477,Andriy Yarmolenko,FW/MF,ua Ukraine,34,1989,1.2,0,4,0,0.0,3.46,0.0,0.0,,15.7,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches,AnFWua341989
478,Yusuf Yazıcı,MF/FW,tr Türkiye,27,1997,0.6,0,3,2,66.7,4.74,3.16,0.0,0.0,21.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,YuMFtr271997
479,Kenan Yıldız,FW/MF,tr Türkiye,18,2005,3.8,0,11,3,27.3,2.87,0.78,0.0,0.0,18.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,KeFWtr182005
480,Okay Yokuşlu,MF/DF,tr Türkiye,29,1994,0.6,0,1,0,0.0,1.64,0.0,0.0,,26.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,OkMFtr291994
481,İsmail Yüksek,MF,tr Türkiye,25,1999,1.7,0,1,0,0.0,0.59,0.0,0.0,,22.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,İsMFtr251999
482,Illia Zabarnyi,DF,ua Ukraine,21,2002,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,IlDFua212002
483,Mattia Zaccagni,MF/FW,it Italy,28,1995,0.9,1,2,1,50.0,2.2,1.1,0.5,1.0,14.7,0,0,0,0.2,0.2,0.11,0.8,0.8,Matches,MaMFit281995
484,Denis Zakaria,MF,ch Switzerland,27,1996,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,DeMFch271996
485,Nicola Zalewski,DF,pl Poland,22,2002,2.7,0,2,1,50.0,0.73,0.36,0.0,0.0,22.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,NiDFpl222002
486,Piotr Zieliński,MF,pl Poland,29,1994,2.8,0,8,3,37.5,2.85,1.07,0.0,0.0,25.3,2,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,PiMFpl291994
487,Oleksandr Zinchenko,DF,ua Ukraine,27,1996,2.4,0,1,1,100.0,0.42,0.42,0.0,0.0,24.4,1,0,0,0.0,0.0,0.04,0.0,0.0,Matches,OlDFua271996
488,Joshua Zirkzee,FW/DF,nl Netherlands,22,2001,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,JoFWnl222001
489,Andrija Živković,DF,rs Serbia,27,1996,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,AnDFrs271996
490,Budu Zivzivadze,FW/MF,ge Georgia,29,1994,0.2,0,1,0,0.0,5.0,0.0,0.0,,6.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,BuFWge291994
491,Steven Zuber,MF,ch Switzerland,32,1991,0.9,0,2,0,0.0,2.34,0.0,0.0,,11.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2,Matches,StMFch321991
492,Martín Zubimendi,MF,es Spain,24,1999,1.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,MaMFes241999
493,Oleksandr Zubkov,FW,ua Ukraine,27,1996,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,OlFWua271996
